,Reporting_Year,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
338,2019 and 2020,QN68,4,274,403.0603448,24.50404858,17114.9075,62.46316607,24,132.1237113,31.97727273,1530.815219,63.78396745,298,0.080536913
339,2020 and 2021,QN68,4,255,418.1012658,24.50404858,17160.26444,67.29515467,38,124.6363636,29.32784552,2547.341801,67.03531054,293,0.129692833
340,2020 and 2021,QN70,4,874,418.7617261,21.14347826,91897.3682,105.1457302,121,308.7429775,20.85454545,12179.76402,100.6592068,995,0.12160804
341,2019 and 2020,QN70,4,861,418.7617261,23.25,88077.0135,102.2961829,98,219.1,24.29078014,9318.41138,95.08583041,959,0.102189781
342,2019 and 2020,QN71,4,151,297.7765487,18.25786416,12952.12617,85.77566999,22,297.7765487,30.18838597,1750.272952,79.55786147,173,0.12716763
343,2020 and 2021,QN71,4,183,297.7765487,20.66494001,15366.2421,83.96853608,24,124.6587031,23.91428571,1647.947524,68.66448018,207,0.115942029
344,2020 and 2021,QN72,4,351,458.5344828,18.02513966,38054.92154,108.4185799,23,207.7089858,30.04693367,2475.744087,107.6410473,374,0.061497326
345,2019 and 2020,QN72,4,364,458.5344828,18.02513966,39726.00653,109.1373806,29,207.7089858,20.6953125,3081.172456,106.2473261,393,0.073791349
346,2020 and 2021,QN76,4,81,391.7789757,20.28125,6320.160559,78.02667357,7,163.4433962,15.69565217,395.9815063,56.56878661,88,0.079545455
347,2019 and 2020,QN76,4,78,391.7789757,20.13888889,6419.400155,82.30000199,15,100.862069,13.35252982,974.3604177,64.95736118,93,0.161290323
348,2020 and 2021,QN99,4,31,229.65,40.25,1911.598981,61.66448327,3,52.61029412,44.75007308,149.9706613,49.99022044,34,0.088235294
349,2019 and 2020,QN99,4,37,229.65,28.125,2244.477039,60.66154159,2,52.61029412,44.75007308,97.3603672,48.6801836,39,0.051282051
350,2019 and 2020,SI01,5,102,407.1857143,47.74709302,11646.86337,114.184935,5,329.050692,86.99472759,699.4766779,139.8953356,107,0.046728972
351,2020 and 2021,SI01,5,112,407.1857143,46.98,12847.30388,114.7080704,6,152.9716344,71.91603317,601.6403171,100.2733862,118,0.050847458
352,2020 and 2021,SI05,5,215,430.625,21.94538424,16671.36101,77.54121402,17,98.29625918,35.41204114,860.6136896,50.62433468,232,0.073275862
353,2019 and 2020,SI05,5,239,430.625,15.93103448,18001.69531,75.3209009,16,98.29625918,34.06187224,913.1369106,57.07105691,255,0.062745098
354,2020 and 2021,SI07,5,226,249,16.34797588,17119.23931,75.7488465,21,113.578125,22.20779221,1426.870502,67.9462144,247,0.085020243
355,2019 and 2020,SI07,5,229,249,16.60025707,16623.02886,72.58964568,23,134.2653061,17.53228121,1337.885644,58.16894105,252,0.091269841
356,2020 and 2021,SI08,5,44,109.8958333,23.85248816,2551.056817,57.97856402,7,82.10241894,32.91416705,409.0539024,58.43627177,51,0.137254902
